Unnamed: 0,task_name,role,goal,location,company_level,fred_category,user_intent,difficulty
0,act as advisers to student organizations.,advisers to student organizations,to provide guidance and support to student organizations,"various locations such as schools, universities, and community centers",Specialist or Consultant level,Education and Health Services,To assist students in organizing and managing their activities effectively.,Moderate
1,act as an advocate for farmers or farmers' groups.,Advocate for farmers or farmers' groups,"Promote and support the interests of farmers and farmers' groups in various contexts such as policy, market access, and community initiatives.","Various agricultural settings, markets, forums, etc.",Specialist,Agriculture,To advocate for fair policies and market conditions that benefit farmers and help them address challenges related to farming.,Moderate
2,act as an intermediary in negotiations between buyers and sellers over property prices and settlement details and during the closing of sales.,Real Estate Negotiator,"Facilitate negotiations between buyers and sellers over property prices, settlement details, and closing of sales","Various locations including real estate offices, homes, or other negotiation venues as needed",Specialist,Wholesale Trade,"To complete a successful real estate transaction between buyers and sellers by mediating discussions on price, terms, and closing details",Moderate
3,"act as an intermediary in negotiations between buyers and sellers, generally representing one or the other.",Intermediary (Negotiator),Represent one party in negotiations between buyers and sellers,"Various negotiation settings such as offices, online platforms, trade fairs, etc.",Specialist,Wholesale Trade,To facilitate a successful transaction between buyer and seller by representing one party in negotiations,Moderate
4,act as liaisons between clients and medical staff.,Liaison between clients and medical staff,To act as intermediaries to facilitate communication and collaboration between clients (patients) and medical staff in a healthcare setting.,Hospital or clinic environment,Specialist,Education and Health Services,To improve patient care by ensuring smooth communication channels exist between patients and their healthcare providers.,Moderate
5,act as liaisons between on-site managers or tenants and owners.,Liaison (On-Site Manager or Tenant),Act as intermediaries to resolve conflicts and communicate needs between on-site managers or tenants and owners,"Various industrial, commercial, residential properties, etc.",Specialist,Retail Trade,To establish effective communication channels for resolving disputes and conveying requests between management and property owners in various settings such as office spaces or housing developments.,Moderate
6,"act as liaisons between ships' captains and shore personnel to ensure that schedules and budgets are maintained, and that ships are operated safely and efficiently.",Ships' Liaison Officer,"Ensure schedules and budgets are maintained, and ships operate safely and efficiently.",At sea or in port near a docked ship,Specialist,Transportation,To facilitate smooth communication between ship captains and shore personnel for the efficient operation of vessels.,Moderate
7,adapt instructional content or delivery methods for different levels or types of learners.,Instructional Designer,Adapt instructional content or delivery methods for different levels or types of learners.,"Various settings including but not limited to offices, schools, and online platforms",Specialist,Professional Services,To enhance the effectiveness of educational materials by tailoring them to meet the diverse needs of different learner types.,Moderate
8,adapt instructional techniques to the age and skill levels of students.,Educator,Adapt instructional techniques to the age and skill levels of students,School,Mid-Level,Education and Health Services,To tailor teaching methods for different student ages and abilities in a school setting.,Moderate
9,adapt software and accompanying technical documents to another language and culture.,Technical Translator,Adapt software and accompanying technical documents to another language and culture.,"Various locations including translation centers, client offices, or remote work environments",Specialist,Professional Services,To ensure that the software documentation is culturally appropriate and linguistically accurate for a target audience outside of Alibaba's primary language environment.,Moderate
10,adapt teaching methods and instructional materials to meet students' varying needs and interests.,Educator or Curriculum Developer,Adapt teaching methods and instructional materials to meet students' varying needs and interests.,School or Educational Institution,Specialist,Education and Health Services,"To ensure that the educational content is tailored to accommodate different learning styles, abilities, and preferences of students for effective teaching and learning outcomes.",Moderate
11,adapt text to accommodate musical requirements of composers and singers.,Text Adaptation Specialist,To adapt text to accommodate musical requirements of composers and singers.,"Various environments where text adaptation services are needed, such as studios or homes where music is created and performed.",Specialist,Other Services,The user wants the text adapted to fit well with musical compositions and vocal performances for various artistic works.,Moderate
12,adapt the quantity of ingredients to match the amount of items to be baked.,Baker,Adjust the amount of ingredients to match the number of items being baked.,Home kitchen or bakery (varies),Mid-level,Manufacturing,To ensure that the correct proportions of ingredients are used for a given batch size when baking multiple items.,Easy
13,"adapt translations to students' cognitive and grade levels, collaborating with educational team members as necessary.",Translator,"Adapt translations to students' cognitive and grade levels, collaborating with educational team members as necessary.",School or Educational Institution,Specialist,Education and Health Services,To ensure that the translated materials are suitable for students of varying grades and abilities.,Moderate
14,"address employee relations issues, such as harassment allegations, work complaints, or other employee concerns.",Human Resources Manager,"Address employee relations issues including harassment allegations, work complaints, or other employee concerns.",Office environment,Mid-level,Financial Activities,To resolve and manage various employee concerns within the organization to maintain a positive workplace environment.,Moderate
15,"address legal issues, such as child abuse and discipline, assisting with hearings and providing testimony to inform custody arrangements.",Legal Advisor,"Address legal issues related to child abuse and discipline, assist with hearings, and provide testimony for custody arrangements.",Courtroom or Legal Setting,Expert,Other Services,The user is trying to resolve legal disputes regarding the welfare of children and inform court decisions about custody.,Very Hard
16,address public audiences to explain program objectives and to elicit support.,Public Relations Specialist,To address public audiences to explain program objectives and to elicit support.,"Various settings including but not limited to offices, community centers, online platforms (webinars, social media), etc.",Specialist,Information,To promote a new program by explaining its objectives and seeking public support for it.,Moderate
17,"address the relationships of quantities, magnitudes, and forms through the use of numbers and symbols.",Mathematician or Data Analyst,"Address relationships through numbers and symbols by analyzing quantities, magnitudes, and forms.","Various settings including offices, schools, research labs, etc.",Expert,Other Services,To understand the relationships between different numerical data points and quantify their interconnectivity using mathematical operations and symbols.,Expert
18,"adjust controls of equipment to control particle beam movement, pulse rates, energy or intensity, or radiation, according to specifications.",Engineering Technician,Adjust equipment controls to manipulate particle beam parameters as per specifications,Laboratory or Research Facility,Mid-Level,Manufacturing,To accurately control and manage the particle beam system according to specified parameters for research or testing purposes.,Moderate
19,"adjust controls to regulate temperature, pressure, feed, or flow of liquids or gases and times of prescribed reactions, according to knowledge of equipment and processes.",Chemist,Adjust controls to regulate chemical processes and reactions as per knowledge of equipment and processes.,Laboratory or production facility,Specialist,Manufacturing,"To ensure proper temperature, pressure, feed, flow control for chemical reactions in a laboratory setting.",Moderate
20,"adjust functional parts of devices or control instruments, using hand tools, levels, plumb bobs, or straightedges.",Maintenance Technician,Adjust functional parts of devices or control instruments using hand tools and measuring equipment,Factory or Manufacturing Plant,Mid-Level,Manufacturing,To ensure that the devices and control instruments are functioning correctly by making necessary adjustments with the available tools.,Moderate
21,adjust sales scripts to better target the needs and interests of specific individuals.,Salesperson,Adjust sales scripts to better target the needs and interests of specific individuals.,"Various locations such as retail stores, call centers, or online platforms based on the industry context.",Specialist,Retail Trade,To enhance sales performance by making their scripts more relevant to individual customers' needs and interests.,Moderate
22,"adjust, maintain, or repair laboratory equipment such as microscopes.",Laboratory Technician,"Adjust, maintain, or repair laboratory equipment such as microscopes.",Laboratory,Specialist,Manufacturing,The user is trying to ensure that the laboratory equipment like microscopes are in good working condition for accurate and efficient scientific research or experiments.,Moderate
23,"adjust, repair, or replace malfunctioning components or assemblies, using hand tools or soldering irons.",Technician,"To fix, repair, or replace malfunctioning components or assemblies using hand tools or soldering irons.",Factory or manufacturing plant,Specialist,Manufacturing,The user was attempting to ensure that production equipment was working properly by addressing any malfunctions with the appropriate tools and techniques.,Moderate
24,administer document and system access rights and revision control to ensure security of system and integrity of master documents.,System Administrator or Security Officer,Ensure security of the system and integrity of master documents by administering document and system access rights and revision control.,"Various organizational settings (e.g., office, data centers)",Senior,Information,To secure systems against unauthorized access while maintaining the accuracy and integrity of critical documents within a company's infrastructure.,Moderate
25,"administer highway planning, construction, or maintenance.","Highway Planner, Constructor, or Maintenance Manager","Administer highway planning, construction, or maintenance activities to ensure the successful completion of projects and maintain road infrastructure in a safe and efficient manner.","Various locations such as public works departments, transportation agencies, construction firms, etc.",Senior or Executive (depending on specific responsibilities and scope),Construction,"To oversee the development, implementation, and maintenance of highway systems to support transportation needs efficiently and sustainably.",Moderate
26,administer online purchasing systems.,Administer Online Purchasing Systems Specialist,"To oversee and manage the online purchasing systems to ensure efficient operations, customer satisfaction, and data integrity.","Various locations such as corporate offices, warehouses, e-commerce platforms, etc.",Mid-Level,Retail Trade,To maintain and optimize an online purchasing system for a company to enhance efficiency and customer experience.,Moderate
27,administer standardized ability and achievement tests and interpret results to determine students' strengths and areas of need.,Educational Testing Specialist,Administer standardized ability and achievement tests to determine students' strengths and areas of need.,School or educational institution,Specialist,Education and Health Services,To assess student abilities and needs for personalized learning plans.,Moderate
28,"administer systems and programs to reduce loss, maintain inventory control, or increase safety.",Systems Administrator or Inventory Manager,"Reduce loss, maintain inventory control, increase safety","Various settings such as manufacturing plants, retail stores, warehouses, etc.",Mid-level,Manufacturing,"To ensure efficient operations and effective management of resources in a specific business setting by reducing losses, maintaining inventory accurately, and enhancing safety measures.",Moderate
29,"administer treatments or therapies, such as homeopathy, hydrotherapy, oriental or ayurvedic medicine, electrotherapy and diathermy, using physical agents including air, heat, cold, water, sound, or ultraviolet light to catalyze the body to heal itself.",Medical Practitioner,Administer various treatments and therapies using physical agents for the purpose of promoting healing in patients,Hospital or Clinic,Specialist,Health Care and Social Assistance,To provide effective treatment options to patients through a variety of medical techniques.,Moderate
30,"administer, dispense, or prescribe natural medicines such as food or botanical extracts, herbs, dietary supplements, vitamins, nutraceuticals, and amino acids.",Natural Medicine Practitioner,"Administer, dispense, or prescribe natural medicines such as food or botanical extracts, herbs, dietary supplements, vitamins, nutraceuticals, and amino acids.","Various healthcare settings including clinics, hospitals, pharmacies, etc.",Specialist,Health Care,The user was trying to understand the role of a natural medicine practitioner in administering various health products for patients.,Moderate
31,"administer, proctor, or score academic or diagnostic assessments.",Assessment Administrator/Proctor,"To oversee and manage academic or diagnostic assessments, ensuring they are conducted accurately and fairly.",Office/Testing Center/Classroom/School,Mid-Level,Education and Health Services,"To ensure the integrity and accuracy of academic or diagnostic assessments by administering, proctoring, and scoring them appropriately.",Moderate
32,"advise animal owners regarding sanitary measures, feeding, general care, medical conditions, or treatment options.",Animal Care Specialist,"Advise animal owners on various aspects of animal care including sanitary measures, feeding, general care, medical conditions, or treatment options.",Not specified in the task description,Specialist,Other Services,To provide guidance to animal owners on how to properly care for their animals including health and hygiene aspects.,Moderate
33,"advise attorneys, juries, litigants, and court personnel regarding conduct, issues, and proceedings.",Legal Consultant or Legal Advisor,"Provide advice on conduct, issues, and proceedings to attorneys, juries, litigants, and court personnel","Courtroom, Law Firms, Legal Offices",Specialist,Professional Services,To obtain expert legal advice on various aspects of legal procedures and conduct.,Moderate
34,"advise business or other groups on local, national, or international factors affecting the buying or selling of products or services.",Business Advisor or Market Analyst,"Advise on factors affecting product or service buying/selling in local, national, or international contexts","Various settings including offices, workshops, and online platforms",Specialist,Wholesale Trade,To provide insights into market trends and factors influencing the buying and selling of products or services for business decision-making.,Moderate
35,"advise client on interior design factors such as space planning, layout and use of furnishings or equipment, and color coordination.",Interior Designer,"Advise a client on interior design factors including space planning, layout and use of furnishings or equipment, and color coordination.","Various locations such as homes, commercial spaces, etc.",Specialist,Professional Services,The user is seeking advice on interior design elements to enhance the aesthetics and functionality of a space or area they own or manage.,Moderate
