,task_name
0,act as advisers to student organizations.
1,act as an advocate for farmers or farmers' groups.
2,act as an intermediary in negotiations between buyers and sellers over property prices and settlement details and during the closing of sales.
3,"act as an intermediary in negotiations between buyers and sellers, generally representing one or the other."
4,act as liaisons between clients and medical staff.
5,act as liaisons between on-site managers or tenants and owners.
6,"act as liaisons between ships' captains and shore personnel to ensure that schedules and budgets are maintained, and that ships are operated safely and efficiently."
7,adapt instructional content or delivery methods for different levels or types of learners.
8,adapt instructional techniques to the age and skill levels of students.
9,adapt software and accompanying technical documents to another language and culture.
10,adapt teaching methods and instructional materials to meet students' varying needs and interests.
11,adapt text to accommodate musical requirements of composers and singers.
12,adapt the quantity of ingredients to match the amount of items to be baked.
13,"adapt translations to students' cognitive and grade levels, collaborating with educational team members as necessary."
14,"address employee relations issues, such as harassment allegations, work complaints, or other employee concerns."
15,"address legal issues, such as child abuse and discipline, assisting with hearings and providing testimony to inform custody arrangements."
16,address public audiences to explain program objectives and to elicit support.
17,"address the relationships of quantities, magnitudes, and forms through the use of numbers and symbols."
18,"adjust controls of equipment to control particle beam movement, pulse rates, energy or intensity, or radiation, according to specifications."
19,"adjust controls to regulate temperature, pressure, feed, or flow of liquids or gases and times of prescribed reactions, according to knowledge of equipment and processes."
20,"adjust functional parts of devices or control instruments, using hand tools, levels, plumb bobs, or straightedges."
21,adjust sales scripts to better target the needs and interests of specific individuals.
22,"adjust, maintain, or repair laboratory equipment such as microscopes."
23,"adjust, repair, or replace malfunctioning components or assemblies, using hand tools or soldering irons."
24,administer document and system access rights and revision control to ensure security of system and integrity of master documents.
25,"administer highway planning, construction, or maintenance."
26,administer online purchasing systems.
27,administer standardized ability and achievement tests and interpret results to determine students' strengths and areas of need.
28,"administer systems and programs to reduce loss, maintain inventory control, or increase safety."
29,"administer treatments or therapies, such as homeopathy, hydrotherapy, oriental or ayurvedic medicine, electrotherapy and diathermy, using physical agents including air, heat, cold, water, sound, or ultraviolet light to catalyze the body to heal itself."
30,"administer, dispense, or prescribe natural medicines such as food or botanical extracts, herbs, dietary supplements, vitamins, nutraceuticals, and amino acids."
31,"administer, proctor, or score academic or diagnostic assessments."
32,"advise animal owners regarding sanitary measures, feeding, general care, medical conditions, or treatment options."
33,"advise attorneys, juries, litigants, and court personnel regarding conduct, issues, and proceedings."
34,"advise business or other groups on local, national, or international factors affecting the buying or selling of products or services."
35,"advise client on interior design factors such as space planning, layout and use of furnishings or equipment, and color coordination."
36,"advise clients concerning business transactions, claim liability, advisability of prosecuting or defending lawsuits, or legal rights and obligations."
37,advise clients on financial and legal matters such as investments and taxes.
38,advise clients on how they could be helped by counseling.
39,"advise clients on market conditions, prices, mortgages, legal requirements and related matters."
40,advise clients on transportation and payment methods.
41,"advise clients or community groups on issues related to improving general health, such as diet or exercise."
42,"advise clients or respond to inquiries about financial matters in person or via phone, email, web site, or internet chat."
43,"advise construction firms or government agencies on dam or road construction, foundation design, land use, or resource management."
44,advise corporations on issues involving corporate image projects or problems.
45,advise customer about or perform maintenance of software system.
46,"advise customers concerning equipment operation, maintenance, or programming."
47,advise customers of necessary actions and strategies for debt repayment.
48,"advise customers on import and export restrictions, tariff systems, insurance requirements, quotas, or other customs-related matters."
49,advise customers on product usage to improve production.
50,advise customers on use and care of merchandise.
51,advise dealers and distributors on policies and operating procedures to ensure functional effectiveness of business.
52,advise farm groups or growers on land preparation or livestock care techniques that will maximize the quantity and quality of production.
53,"advise farmers and demonstrate techniques in areas such as feeding and health maintenance of livestock, growing and harvesting practices, and financial planning."
54,advise farmers or growers of development programs or new equipment or techniques to aid in quality production.
55,"advise food service managers and organizations on sanitation, safety procedures, menu development, budgeting, and planning to assist with the establishment, operation, and evaluation of food service facilities and nutrition programs."
56,advise internal management or business partners on the implementation or operation of compliance programs.
57,"advise management about issues such as resource utilization, tax strategies, and the assumptions underlying budget forecasts."
58,"advise management concerning personnel, managerial, and marketing policies and practices and their potential effects on organizational effectiveness and efficiency."
59,advise management on matters related to the administration of contracts or employee discipline or grievance procedures.
60,"advise management on short-term and long-term financial objectives, policies, and actions."
61,"advise management regarding customer satisfaction, product performance, or suggestions for product improvements."
62,"advise managers and employees on state and federal employment regulations, collective agreements, benefit and compensation policies, personnel procedures and classification programs."
63,"advise managers on organizational policy matters such as equal employment opportunity and sexual harassment, and recommend needed changes."
64,advise or assist in obtaining patents or meeting other legal requirements.
65,advise or consult with individuals and institutions regarding issues such as the historical authenticity of materials or the customs of a specific historical period.
66,"advise or instruct patients regarding preventive dental care, the causes and treatment of dental problems, or oral health care services."
67,"advise patients and community members concerning diet, activity, hygiene, and disease prevention."
68,"advise patients and their families on nutritional principles, dietary plans and diet modifications, and food selection and preparation."
69,"advise planning officials on project feasibility, cost-effectiveness, regulatory conformance, or possible alternatives."
70,advise producers about improved products and techniques that could enhance their animal production efforts.
71,"advise project teams on subjects such as premarket regulatory requirements, export and labeling requirements, or clinical study compliance issues."
72,"advise retail customers or internal users on the appropriateness of parts, supplies, or materials requested."
73,advise students on academic and vocational curricula and career issues.
74,advise students on academic and vocational curricula and on career issues.
75,"advise students on academic and vocational curricula, and on career issues."
76,"advise students on academic and vocational curricula, career issues, and laboratory and field research."
77,"advise students on course selection, career decisions, and other academic and vocational concerns."
78,"advise students on internships, prospective employers, and job placement services."
79,"advise students on issues such as course selection, progress toward graduation, and career decisions."
80,"advise teaching and administrative staff in curriculum development, use of materials and equipment, and implementation of state and federal programs and procedures."
81,advocate for accessible health care that minimizes environmental health risks.
82,"advocate for patients' and families' needs, or provide emotional support for patients and their families."
83,agree on buying or selling prices at optimal levels for clients.
84,"aid patients in performing tasks, such as bathing or keeping beds, clothing, or living areas clean."
85,"align, adjust, or calibrate equipment according to specifications."
86,"allocate print space for story text, photos, and illustrations according to space parameters and copy significance, using knowledge of layout principles."
87,"analyze a script, noting events that affect each character's appearance, so that plans can be made for each scene."
88,analyze all aspects of corporate logistics to determine the most cost-effective or efficient means of transporting products or supplies.
89,"analyze and characterize user experiences and institutional settings to assist consumer product developers, technology developers, and software engineers with the design of innovative products and services."
90,analyze and classify risks and investments to determine their potential impacts on companies.
91,"analyze and distill climate-related research findings to inform legislators, regulatory agencies, or other stakeholders."
92,analyze and evaluate patient data or test findings to diagnose nature or extent of mental disorder.
93,analyze and evaluate robotic systems or prototypes.
94,"analyze and evaluate security operations to identify risks or opportunities for improvement through auditing, review, or assessment."
95,"analyze and implement engineering designs for producing electronic devices and systems and microprocessor-based control applications, applying principles of mathematics, digital signal processing, network analysis, and computer engineering."
96,analyze and interpret data to increase the understanding of human social behavior.
97,analyze and interpret news and information received from various sources to broadcast the information.
98,"analyze and interpret patient, nursing, or information systems data to improve nursing services."
99,"analyze and interpret patients' histories, symptoms, physical findings, or diagnostic information to develop appropriate diagnoses."
100,"analyze and interpret results from tests such as microbial or parasite tests, urine analyses, hormonal assays, fine needle aspirations (fnas), and polymerase chain reactions (pcrs)."
101,analyze and interpret statistical data to identify significant differences in relationships among sources of information.
102,analyze and modify compensation and benefits policies to establish competitive programs and ensure compliance with legal requirements.
103,"analyze and recommend chemical, biological, or other wastewater treatment methods to prepare water for industrial or domestic use."
104,analyze and record personnel or operational data and write related activity reports.
105,"analyze and record test data to issue reports that use charts, graphs, or narratives."
106,analyze and report computer network security breaches or attempted breaches.
107,"analyze applicants' financial status, credit, and property evaluations to determine feasibility of granting loans."
108,analyze available data and consult with other scientists to determine parameters of experimentation and suitability of analytical models.
109,"analyze building codes, by-laws, space and site requirements, and other technical documents and reports to determine their effect on architectural designs."
110,"analyze business operations, trends, costs, revenues, financial commitments, and obligations to project future revenues and expenses or to provide advice."
111,analyze changes designed to improve the environmental performance of complex systems to avoid unintended negative consequences.
112,analyze characteristics of animals to identify and classify them.
113,analyze clinical data using appropriate statistical tools.
114,"analyze clinical or survey data using statistical approaches such as longitudinal analysis, mixed effect modeling, logistic regression analyses, and model building techniques."
115,"analyze compensation policies, government regulations, and prevailing wage rates to develop competitive compensation plan."
116,"analyze competitive market strategies through analysis of related product, market, or share trends."
117,analyze completed police reports to determine what additional information and investigative work is needed.
118,"analyze complex systems to determine potential for further development, production, interoperability, compatibility, or usefulness in a particular area, such as aviation."
119,"analyze computer and information technologies to determine applicability to nursing practice, education, administration and research."
120,"analyze corporate intelligence data to identify trends, patterns, or warnings indicating threats to security of people, assets, information, or infrastructure."
121,analyze credit data and financial statements to determine the degree of risk involved in extending credit or lending money.
122,analyze customer bills and utility rate structures to select optimal rate structures for customers.
123,"analyze data from surveys, old records, or case studies, using statistical software."
124,"analyze data such as interview notes, test results, and reference manuals to identify symptoms and to diagnose the nature of clients' problems."
125,analyze data to assess distance learning program status or to inform decisions for distance learning programs.
126,analyze data to determine answers to questions from customers or members of the public.
127,analyze data to determine feasibility of product proposals.
128,analyze data to determine the effectiveness of specific treatments or therapy approaches.
129,analyze data to determine the effectiveness of treatments or therapy approaches.
130,"analyze data to determine validity, quality, and scientific significance and to interpret correlations between human activities and environmental effects."
131,"analyze data, using statistical methods and applications, to evaluate the outcomes and effectiveness of workplace programs."
132,analyze details of sales territories to assess their growth potential and to set quotas.
133,"analyze determinants responsible for specific inherited traits, and devise methods for altering traits or producing new traits."
134,analyze developments in specific field to determine need for revisions in previously published materials and development of new material.
135,"analyze electronics system requirements, capacity, cost, or customer needs to determine project feasibility."
136,analyze employment-related data and prepare required reports.
137,"analyze energy requirements and distribution systems to maximize the use of intermittent or inflexible renewable energy sources, such as wind or nuclear."
138,"analyze engineering designs of logic or digital circuitry, motor controls, instrumentation, or data acquisition for implementation into new or existing automated, servomechanical, or other electromechanical systems."
139,analyze equipment performance records to assess equipment functioning.
140,analyze equipment performance records to determine the need for repair or replacement.
141,analyze existing development or manufacturing procedures and suggest improvements.
142,"analyze expenditures and other financial information to develop plans, policies, or budgets for increasing profits or improving services."
143,analyze experimental data and interpret results to write reports and summaries of findings.
144,"analyze factors such as weather reports, fuel requirements, or maps to determine air routes."
145,analyze financial activities of establishments or departments and provide input into budget planning and preparation processes.
146,"analyze financial data such as income growth, quality of management, and market share to determine expected profitability of loans."
147,"analyze financial data to detect irregularities in areas such as billing trends, financial relationships, and regulatory compliance procedures."
148,analyze financial information obtained from clients to determine strategies for meeting clients' financial objectives.
149,analyze financial or operational performance of companies facing financial difficulties to identify or recommend remedies.
150,"analyze geographic distributions of physical and cultural phenomena on local, regional, continental, or global scales."
151,"analyze geographic information systems (gis) data to identify spatial relationships or display results of analyses, using maps, graphs, or tabular data."
152,analyze green product marketing or sales trends to forecast future conditions.
153,analyze information from traffic counting programs.
154,analyze information gathered by investigation and report findings and recommendations.
155,analyze information obtained from management to conceptualize and define operational problems.
156,"analyze information processing or computation needs and plan and design computer systems, using techniques such as structured analysis, data modeling and information engineering."
157,"analyze information to determine, recommend, and plan computer specifications and layouts, and peripheral equipment modifications."
158,"analyze information to determine, recommend, and plan installation of a new system or modification of an existing system."
159,"analyze information to determine, recommend, and plan layout, including type of computers and peripheral equipment modifications."
160,"analyze job requirements and content to establish criteria for classification, selection, training, and other related personnel functions."
161,analyze laboratory findings to check the accuracy of the results.
162,"analyze large molecular datasets such as raw microarray data, genomic sequence data, and proteomics data for clinical or basic research purposes."
163,"analyze logistics data, using methods such as data mining, data modeling, or cost or benefit analysis."
164,analyze market conditions to determine optimum times to execute securities transactions.
165,analyze member participation or changes in congregational emphasis to determine needs for religious education.
166,"analyze menus or recipes, standardize recipes, or test new products."
167,analyze monthly department budgeting and accounting reports to maintain expenditure controls.
168,"analyze network data to determine network usage, disk space availability, or server function."
169,analyze new legislation to determine impact on risk exposure.
170,analyze new medical procedures to forecast likely outcomes.
171,"analyze operation of wind farms or wind farm components to determine reliability, performance, and compliance with specifications."
172,"analyze operations to evaluate performance of a company or its staff in meeting objectives or to determine areas of potential cost reduction, program improvement, or policy change."
173,analyze or evaluate dental needs to determine changes or trends in patterns of dental disease.
174,"analyze or interpret logistics data involving customer service, forecasting, procurement, manufacturing, inventory, transportation, or warehousing."
175,"analyze or manipulate bioinformatics data using software packages, statistical applications, or data mining techniques."
176,analyze or synthesize client data to draw conclusions or make recommendations for therapy.
177,"analyze organic or inorganic compounds to determine chemical or physical properties, composition, structure, relationships, or reactions, using chromatography, spectroscopy, or spectrophotometry techniques."
178,"analyze organizational, occupational, and industrial data to facilitate organizational functions and provide technical information to business, industry, and government."
179,"analyze originals to evaluate color density, gradation highlights, middle tones, and shadows, using densitometers and knowledge of light and color."
180,"analyze patient's medical history, medication allergies, physical condition, and examination results to verify operation's necessity and to determine best procedure."
181,analyze patrons' hair and other physical features to determine and recommend beauty treatment or suggest hair styles.
182,analyze patrons' requests to determine needed information and assist in furnishing or locating that information.
183,"analyze performance data to determine effectiveness of instructional systems, courses, or instructional materials."
184,analyze physical findings and medical histories to make diagnoses according to oriental medicine traditions.
185,analyze potential loan markets and develop referral networks to locate prospects for loans.
186,analyze potential loan markets to find opportunities to promote loans and financial services.
187,analyze prescribing trends to monitor patient compliance and to prevent excessive usage or harmful interactions.
188,"analyze price proposals, financial reports, and other data and information to determine reasonable prices."
189,analyze problems and take appropriate action to ensure continuous and reliable operation of equipment and systems.
190,analyze problems to develop solutions involving computer hardware and software.
191,analyze product complaints and make recommendations regarding their reportability.
192,analyze quality control test results and provide feedback and interpretation to production management or staff.
193,"analyze recipes to assign prices to menu items, based on food, labor, and overhead costs."
194,"analyze records, reports, test results, or examination information to diagnose medical condition of patient."
195,"analyze regional energy markets, including energy pricing, market structures, energy generation competition, and energy transmission constraints."
196,"analyze research data to determine its significance, using computers."
197,analyze results of investigations to determine measures needed to maintain or restore proper soil management.
